creationDate,startDate,endDate,kcalBurned,milesCycled
2017-10-29 07:01:32 -0700,2017-08-05 15:54:51 -0700,2017-08-05 15:54:51 -0700,17.8506,2.14019
2017-10-29 07:01:32 -0700,2017-09-03 12:04:52 -0700,2017-09-03 12:04:52 -0700,25.3074,2.14417
2017-10-29 07:01:32 -0700,2017-08-01 07:44:18 -0700,2017-08-01 07:44:18 -0700,199.609,4.53557
2017-10-29 07:01:32 -0700,2017-08-24 07:38:56 -0700,2017-08-24 07:38:56 -0700,150.095,4.74411
2017-10-29 07:01:32 -0700,2017-08-24 16:09:21 -0700,2017-08-24 16:09:21 -0700,132.417,3.08331
2017-10-29 07:01:32 -0700,2017-08-13 14:53:52 -0700,2017-08-13 14:53:52 -0700,79.4959,3.11599
2017-10-29 09:41:05 -0700,2017-10-29 07:01:40 -0700,2017-10-29 09:39:23 -0700,939.7,30.5941
2018-01-03 09:07:12 -0700,2018-01-03 08:36:02 -0700,2018-01-03 09:04:20 -0700,197.3,4.48363
2018-01-03 09:52:32 -0700,2018-01-02 16:43:32 -0700,2018-01-02 17:11:47 -0700,184.2,4.38135
2018-01-03 17:14:56 -0700,2018-01-03 16:41:45 -0700,2018-01-03 17:09:22 -0700,189.7,4.36507
2018-01-07 12:07:53 -0700,2018-01-07 09:34:17 -0700,2018-01-07 12:05:44 -0700,1000.6,30.4399
2018-01-12 09:17:27 -0700,2018-01-12 08:46:29 -0700,2018-01-12 09:14:43 -0700,182.6,4.49829
2018-01-13 08:28:58 -0700,2018-01-12 16:31:23 -0700,2018-01-12 16:56:22 -0700,192.8,4.36389
2018-01-14 12:13:09 -0700,2018-01-14 09:52:08 -0700,2018-01-14 12:11:40 -0700,996.2,30.5492
2018-01-17 09:23:29 -0700,2018-01-17 08:44:34 -0700,2018-01-17 09:13:46 -0700,195.8,4.43292
2018-01-19 09:07:59 -0700,2018-01-19 08:37:46 -0700,2018-01-19 09:06:03 -0700,140.9,4.59734
2018-03-08 12:23:32 -0700,2018-02-16 08:43:31 -0700,2018-02-16 09:11:18 -0700,203.5,4.58299
2018-03-08 12:23:32 -0700,2018-02-12 17:00:40 -0700,2018-02-12 17:25:02 -0700,198.2,4.3844
2018-03-09 11:45:38 -0700,2018-02-04 08:29:35 -0700,2018-02-04 12:00:53 -0700,1422.1,42.722
2018-03-09 11:45:38 -0700,2018-02-05 17:00:30 -0700,2018-02-05 17:24:07 -0700,139.6,4.35196
2018-03-09 11:45:38 -0700,2018-02-05 08:38:24 -0700,2018-02-05 09:04:57 -0700,223.6,4.63934
2018-03-09 11:45:39 -0700,2018-01-28 08:59:44 -0700,2018-01-28 11:25:28 -0700,1006.5,30.4972
2018-03-09 11:45:39 -0700,2018-02-02 16:25:40 -0700,2018-02-02 16:49:59 -0700,208.5,4.43379
2018-03-09 11:45:39 -0700,2018-02-09 08:38:39 -0700,2018-02-09 09:03:21 -0700,158.6,4.59255
2018-03-09 11:45:39 -0700,2018-01-22 17:00:08 -0700,2018-01-22 17:24:59 -0700,196.3,4.34575
2018-03-09 11:45:39 -0700,2018-01-22 08:46:39 -0700,2018-01-22 09:15:30 -0700,198.5,4.61927
2018-03-09 11:45:39 -0700,2018-02-02 08:44:08 -0700,2018-02-02 09:10:51 -0700,131.2,4.58591
2018-03-09 11:45:39 -0700,2018-02-07 17:44:10 -0700,2018-02-07 18:01:01 -0700,23.8,2.25943
2018-03-09 11:45:39 -0700,2018-02-09 17:13:42 -0700,2018-02-09 17:40:14 -0700,189.3,4.44796
2018-03-09 11:45:39 -0700,2018-01-19 16:17:31 -0700,2018-01-19 16:42:51 -0700,204.7,4.40459
2018-03-09 11:45:39 -0700,2018-01-21 09:24:50 -0700,2018-01-21 11:23:05 -0700,835.9,25.857
2018-03-09 17:16:27 -0700,2018-02-21 16:31:26 -0700,2018-02-21 16:55:20 -0700,182.9,4.28392
2018-03-09 17:16:27 -0700,2018-03-05 16:45:37 -0700,2018-03-05 17:09:33 -0700,200.3,4.39359
2018-03-12 08:17:26 -0700,2018-03-12 07:50:20 -0700,2018-03-12 08:14:41 -0700,157.5,4.60287
2018-03-26 08:06:24 -0700,2018-03-07 16:41:12 -0700,2018-03-07 17:07:02 -0700,192.7,4.34742
2018-03-26 08:06:24 -0700,2018-03-09 16:49:27 -0700,2018-03-09 17:13:18 -0700,136,4.39956
2018-03-26 08:06:24 -0700,2018-03-16 15:52:44 -0700,2018-03-16 16:18:31 -0700,196.9,4.37992
2018-03-26 08:06:24 -0700,2018-03-19 15:31:29 -0700,2018-03-19 15:55:52 -0700,195.3,4.32599
2018-03-26 08:08:03 -0700,2018-03-26 07:40:48 -0700,2018-03-26 08:05:38 -0700,206.1,4.49456
2018-03-28 08:15:51 -0700,2018-03-28 07:46:17 -0700,2018-03-28 08:13:15 -0700,194.5,4.62313
2018-03-30 11:18:42 -0700,2018-03-30 07:49:46 -0700,2018-03-30 08:16:15 -0700,148.2,4.67632
2018-04-02 08:10:00 -0700,2018-04-02 07:42:52 -0700,2018-04-02 08:09:08 -0700,196.6,4.56907
2018-04-04 08:03:35 -0700,2018-04-04 07:36:08 -0700,2018-04-04 08:01:28 -0700,201.6,4.45591
2018-04-06 16:14:33 -0700,2018-03-23 16:28:32 -0700,2018-03-23 16:52:27 -0700,191.7,4.36998
2018-04-06 16:14:33 -0700,2018-03-28 16:23:08 -0700,2018-03-28 16:45:45 -0700,193.7,4.3135
2018-04-06 16:14:33 -0700,2018-03-26 15:47:33 -0700,2018-03-26 16:08:32 -0700,194.9,4.34985
2018-04-06 16:14:33 -0700,2018-03-30 15:16:10 -0700,2018-03-30 15:38:52 -0700,126.8,4.39539
2018-04-12 11:31:41 -0700,2018-04-11 07:44:25 -0700,2018-04-11 08:10:27 -0700,140.5,4.61673
2018-04-18 08:14:42 -0700,2018-04-11 15:08:39 -0700,2018-04-11 15:32:22 -0700,188,4.37489
2018-04-18 08:14:42 -0700,2018-04-16 15:07:34 -0700,2018-04-16 15:30:25 -0700,195.6,4.3281
2018-04-18 08:14:42 -0700,2018-04-04 15:27:42 -0700,2018-04-04 15:51:22 -0700,196.1,4.38309
2018-04-18 08:14:42 -0700,2018-04-06 15:49:17 -0700,2018-04-06 16:14:12 -0700,130.2,4.30213
2018-04-18 08:14:42 -0700,2018-04-08 07:09:31 -0700,2018-04-08 08:27:45 -0700,374.5,12.8823
2018-04-18 08:14:42 -0700,2018-04-02 15:48:23 -0700,2018-04-02 16:10:59 -0700,189.1,4.3322
2018-04-18 08:14:42 -0700,2018-04-09 14:53:21 -0700,2018-04-09 15:18:53 -0700,181.3,4.36439
2018-04-18 08:15:40 -0700,2018-04-18 07:48:10 -0700,2018-04-18 08:13:46 -0700,216.3,4.6834
2018-04-25 07:52:16 -0700,2018-04-25 07:22:32 -0700,2018-04-25 07:47:55 -0700,206.8,4.58777
2018-04-27 15:15:28 -0700,2018-04-25 14:20:10 -0700,2018-04-25 14:45:59 -0700,182.9,4.49432
2018-04-27 15:15:28 -0700,2018-04-23 16:03:27 -0700,2018-04-23 16:28:18 -0700,228,4.69943
2018-04-27 15:15:28 -0700,2018-04-18 15:32:22 -0700,2018-04-18 15:57:22 -0700,193,4.39614
